epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,217.438,1.42592,2.34822,0.90199,0.02828,0.2709,0.16047,0.08887,1.50111,2.72481,0.8706,0.000405983,0.000405983,0.000405983
2,419.336,1.13921,1.06453,0.84277,0.93053,0.20955,0.22286,0.11926,1.43212,1.64258,0.87918,0.000659765,0.000659765,0.000659765
3,617.946,1.03917,0.94746,0.82932,0.7747,0.26202,0.28067,0.16935,1.24681,1.07873,0.84618,0.000748547,0.000748547,0.000748547
4,825.877,0.94802,0.87328,0.81988,0.82941,0.26003,0.30719,0.19698,1.14825,0.94387,0.83813,0.0005075,0.0005075,0.0005075
5,1028.62,0.87779,0.81866,0.81458,0.55461,0.30413,0.33387,0.22225,1.04693,0.85242,0.8317,0.00026,0.00026,0.00026
